"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13242","Add a new employee eith valid details","","2025-11-07","broken","2025-11-07","","PIM - Add Employee Scenarios","Add a new employee eith valid details",""
"","21699","Add a new employee eith valid details","","2025-11-07","passed","2025-11-07","","PIM - Add Employee Scenarios","Add a new employee eith valid details",""
"","21739","Runs Cucumber Scenarios","Surefire suite","2025-11-07","passed","2025-11-07","runner.TestRunner","Surefire test","runner.TestRunner","runScenario"
"","13760","Add a new employee eith valid details","","2025-11-07","broken","2025-11-07","","PIM - Add Employee Scenarios","Add a new employee eith valid details",""
